family,family_idx,variant,variant_idx,organism,title_keyword,accession,length,defline,fasta_path,note,isolate_idx,fold
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,2925762483,29994,PV239409.1 UNVERIFIED: Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/STM0191/2023 sequence,data/refs/Coronaviridae/MERS-CoV/isolate_8.fasta,,8,3
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,2925762482,29998,PV239408.1 UNVERIFIED: Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/STM0190/2023 sequence,data/refs/Coronaviridae/MERS-CoV/isolate_9.fasta,,9,4
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,12175745,27317,"NC_002645.1 Human coronavirus 229E, complete genome",data/refs/Coronaviridae/HCoV-229E/isolate_0.fasta,,0,0
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,3342271145,27277,"PZ496046.1 UNVERIFIED: Human coronavirus 229E isolate HCoV-229E_INS001/LOR/PER/2025, partial genome",data/refs/Coronaviridae/HCoV-229E/isolate_1.fasta,,1,1
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,3332198490,27295,PX404513.1 MAG: Human coronavirus 229E isolate HCoV-229E/human/ARG/8RSPER0094/2022 genomic sequence,data/refs/Coronaviridae/HCoV-229E/isolate_2.fasta,,2,2
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,2121306165,27263,"LC654445.1 Human coronavirus 229E Fukushima_H829_2020 RNA, complete genome",data/refs/Coronaviridae/HCoV-229E/isolate_3.fasta,,3,3
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,3333278330,27300,"OZ470519.1 Human coronavirus 229E isolate RNA genome assembly, complete genome: monopartite",data/refs/Coronaviridae/HCoV-229E/isolate_4.fasta,,4,4
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,3333278329,27304,"OZ470518.1 Human coronavirus 229E isolate RNA genome assembly, complete genome: monopartite",data/refs/Coronaviridae/HCoV-229E/isolate_5.fasta,,5,0
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,3260662277,27306,"LC922646.1 Human coronavirus 229E HCoV229E_Shiogama_SSP028_2024 RNA, complete genome",data/refs/Coronaviridae/HCoV-229E/isolate_6.fasta,,6,1
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,3254709139,26738,PZ086308.1 UNVERIFIED: Human coronavirus 229E isolate hCoV-229E/Russia/SPE-RII-1891S/2025 genomic sequence,data/refs/Coronaviridae/HCoV-229E/isolate_7.fasta,,7,2
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,3254709138,27278,PZ086307.1 UNVERIFIED: Human coronavirus 229E isolate hCoV-229E/Russia/SPE-RII-24-3915S/2025 genomic sequence,data/refs/Coronaviridae/HCoV-229E/isolate_8.fasta,,8,3
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,3254709130,27180,"PZ086306.1 Human coronavirus 229E isolate hCoV-229E/Russia/KHM-RII-MH261675S/2025, partial genome",data/refs/Coronaviridae/HCoV-229E/isolate_9.fasta,,9,4
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,49169782,27553,"NC_005831.2 Human Coronavirus NL63, complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_0.fasta,,0,0
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,2278964265,27529,"LC720428.1 Human coronavirus NL63 HCoVNL63_Fukushima_O650_2019 RNA, nearly complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_1.fasta,,1,1
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,2203293797,27550,"LC687402.1 Human coronavirus NL63 Fukushima_OR236_2021 RNA, complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_2.fasta,,2,2
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,2203293727,27563,"LC687394.1 Human coronavirus NL63 Fukushima_H257_2018 RNA, complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_3.fasta,,3,3
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,3075526240,27488,"LC895504.1 Human coronavirus NL63 NL63/Yamagata.JPN/2016-854 RNA, nearly complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_4.fasta,,4,4
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,3260662451,27535,"LC922677.1 Human coronavirus NL63 HCoVNL63_Fukushima_OH988_2025 RNA, complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_5.fasta,,5,0
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,3260662443,27535,"LC922676.1 Human coronavirus NL63 HCoVNL63_Fukushima_OH973_2025 RNA, complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_6.fasta,,6,1
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,3260662344,27535,"LC922664.1 Human coronavirus NL63 HCoVNL63_Fukushima_OH878_2025 RNA, complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_7.fasta,,7,2
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,3260662336,27535,"LC922663.1 Human coronavirus NL63 HCoVNL63_Fukushima_OH868_2025 RNA, complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_8.fasta,,8,3
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,3126447038,27553,"PX640308.1 Human coronavirus NL63 isolate srw003, complete genome",data/refs/Coronaviridae/HCoV-NL63/isolate_9.fasta,,9,4
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,1578871709,30741,"NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete genome",data/refs/Coronaviridae/HCoV-OC43/isolate_0.fasta,,0,0
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3342271138,30738,"PZ496039.1 UNVERIFIED: Human coronavirus OC43 isolate HCoV-OC43_INS001/LOR/PER/2025, partial genome",data/refs/Coronaviridae/HCoV-OC43/isolate_1.fasta,,1,1
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3019634590,30780,PV798440.1 UNVERIFIED: Human coronavirus OC43 isolate 21_S6 sequence,data/refs/Coronaviridae/HCoV-OC43/isolate_2.fasta,,2,2
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3019634589,30737,PV798439.1 UNVERIFIED: Human coronavirus OC43 isolate 20_S8 sequence,data/refs/Coronaviridae/HCoV-OC43/isolate_3.fasta,,3,3
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3019634588,30797,PV798438.1 UNVERIFIED: Human coronavirus OC43 isolate 19_S5 sequence,data/refs/Coronaviridae/HCoV-OC43/isolate_4.fasta,,4,4
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3019634577,30683,"PV798437.1 Human coronavirus OC43 isolate 18_S7, complete genome",data/refs/Coronaviridae/HCoV-OC43/isolate_5.fasta,,5,0
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3019634576,30752,PV798436.1 UNVERIFIED: Human coronavirus OC43 isolate 17_S4 sequence,data/refs/Coronaviridae/HCoV-OC43/isolate_6.fasta,,6,1
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3019634565,30639,"PV798435.1 Human coronavirus OC43 isolate 16_S6, complete genome",data/refs/Coronaviridae/HCoV-OC43/isolate_7.fasta,,7,2
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3019634564,30795,PV798434.1 UNVERIFIED: Human coronavirus OC43 isolate 13_S5 sequence,data/refs/Coronaviridae/HCoV-OC43/isolate_8.fasta,,8,3
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,3019634553,30736,"PV798433.1 Human coronavirus OC43 isolate 12_S3, complete genome",data/refs/Coronaviridae/HCoV-OC43/isolate_9.fasta,,9,4
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,85667876,29926,"NC_006577.2 Human coronavirus HKU1, complete genome",data/refs/Coronaviridae/HCoV-HKU1/isolate_0.fasta,,0,0
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,2978467840,29803,"PV619111.1 Human coronavirus HKU1 isolate HKU1A/1587-Passage2-NasalOrganoids, complete genome",data/refs/Coronaviridae/HCoV-HKU1/isolate_1.fasta,,1,1
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,2978467830,29777,"PV619110.1 Human coronavirus HKU1 isolate HKU1B/6025K-Passage2-NasalOrganoids, complete genome",data/refs/Coronaviridae/HCoV-HKU1/isolate_2.fasta,,2,2
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,3342271284,29742,"PZ436647.1 Human coronavirus HKU1 isolate hCoV-HKU1/Russia/SPE-RII-132S/2017, partial genome",data/refs/Coronaviridae/HCoV-HKU1/isolate_3.fasta,,3,3
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,3342271274,29756,"PZ436646.1 Human coronavirus HKU1 isolate hCoV-HKU1/Russia/SPE-RII-214S/2019, partial genome",data/refs/Coronaviridae/HCoV-HKU1/isolate_4.fasta,,4,4
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,3342271273,29746,PZ436645.1 UNVERIFIED: Human coronavirus HKU1 isolate hCoV-HKU1/Russia/SPE-RII-277S/2019 genomic sequence,data/refs/Coronaviridae/HCoV-HKU1/isolate_5.fasta,,5,0
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,3342271263,29734,"PZ436644.1 Human coronavirus HKU1 isolate hCoV-HKU1/Russia/SPE-RII-8371S/2023, partial genome",data/refs/Coronaviridae/HCoV-HKU1/isolate_6.fasta,,6,1
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,3342271253,29873,"PZ436643.1 Human coronavirus HKU1 isolate hCoV-HKU1/Russia/SPE-RII-22304S/2023, partial genome",data/refs/Coronaviridae/HCoV-HKU1/isolate_7.fasta,,7,2
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,3342271252,29827,PZ436642.1 UNVERIFIED: Human coronavirus HKU1 isolate hCoV-HKU1/Russia/SPE-RII-MH158613S/2023 genomic sequence,data/refs/Coronaviridae/HCoV-HKU1/isolate_8.fasta,,8,3
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,3342271242,29853,"PZ436641.1 Human coronavirus HKU1 isolate hCoV-HKU1/Russia/MOW-RII-MH144703S/2023, partial genome",data/refs/Coronaviridae/HCoV-HKU1/isolate_9.fasta,,9,4
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,9626685,10735,"NC_001477.1 Dengue virus 1, complete genome",data/refs/Flaviviridae/Dengue-1/isolate_0.fasta,,0,0
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3352960926,10645,"PZ602941.1 Dengue virus type 1 isolate 7406/2025 D1 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_1.fasta,,1,1
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3352960677,10677,"PZ602905.1 Dengue virus type 1 isolate 5627/2025 D1 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_2.fasta,,2,2
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3260459189,10621,"PZ234918.1 Dengue virus type 1 isolate SZBA_DV20250128 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_3.fasta,,3,3
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3260459181,10514,"PZ234914.1 Dengue virus type 1 isolate SZBA_DV20240621 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_4.fasta,,4,4
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3260459179,10539,"PZ234913.1 Dengue virus type 1 isolate SZBA_DV20240620 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_5.fasta,,5,0
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3260459177,10539,"PZ234912.1 Dengue virus type 1 isolate SZBA_DV20240619 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_6.fasta,,6,1
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3260459175,10539,"PZ234911.1 Dengue virus type 1 isolate SZBA_DV20240610 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_7.fasta,,7,2
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3260459173,10539,"PZ234910.1 Dengue virus type 1 isolate SZBA_DV20240607 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_8.fasta,,8,3
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,3260459171,10533,"PZ234909.1 Dengue virus type 1 isolate SZBA_DV20240602 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-1/isolate_9.fasta,,9,4
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,158976983,10723,"NC_001474.2 Dengue virus 2, complete genome",data/refs/Flaviviridae/Dengue-2/isolate_0.fasta,,0,0
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3352961960,10598,"PZ603444.1 Dengue virus type 2 isolate 3842/2025 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-2/isolate_1.fasta,,1,1
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3352961956,10562,"PZ603442.1 Dengue virus type 2 isolate 1430/2026 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-2/isolate_2.fasta,,2,2
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3260459187,10669,"PZ234917.1 Dengue virus type 2 isolate SZBA_DV20250057 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-2/isolate_3.fasta,,3,3
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3260459185,10561,"PZ234916.1 Dengue virus type 2 isolate SZBA_DV20250053 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-2/isolate_4.fasta,,4,4
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3260459183,10482,"PZ234915.1 Dengue virus type 2 isolate SZBA_DV20250008 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-2/isolate_5.fasta,,5,0
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3260459157,10680,"PZ234902.1 Dengue virus type 2 isolate SZBA_DV20240097 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-2/isolate_6.fasta,,6,1
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3260459155,10718,"PZ234901.1 Dengue virus type 2 isolate SZBA_DV20240094 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, complete sequence",data/refs/Flaviviridae/Dengue-2/isolate_7.fasta,,7,2
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3260459153,10680,"PZ234900.1 Dengue virus type 2 isolate SZBA_DV20240069 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-2/isolate_8.fasta,,8,3
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,3260459151,10688,"PZ234899.1 Dengue virus type 2 isolate SZBA_DV20240068 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-2/isolate_9.fasta,,9,4
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,163644368,10707,"NC_001475.2 Dengue virus 3, complete genome",data/refs/Flaviviridae/Dengue-3/isolate_0.fasta,,0,0
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3353459308,9911,"LC773256.1 Dengue virus type 3 24A_STP_2022 gene for polyprotein, partial cds",data/refs/Flaviviridae/Dengue-3/isolate_1.fasta,,1,1
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3353459302,9911,"LC773253.1 Dengue virus type 3 14A_STP_2022 gene for polyprotein, partial cds",data/refs/Flaviviridae/Dengue-3/isolate_2.fasta,,2,2
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3349352692,10637,"PZ546417.1 Dengue virus type 3 isolate JX202501 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-3/isolate_3.fasta,,3,3
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3345073329,10640,"PZ516052.1 Dengue virus type 3 isolate Pool polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",data/refs/Flaviviridae/Dengue-3/isolate_4.fasta,,4,4
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3349480136,10461,"OZ484517.1 dengue virus type 3 isolate IEDCR-ARBV2500903 genome assembly, complete genome: monopartite",data/refs/Flaviviridae/Dengue-3/isolate_5.fasta,,5,0
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3349480135,10461,"OZ484516.1 dengue virus type 3 isolate IEDCR-ARBV2501063 genome assembly, complete genome: monopartite",data/refs/Flaviviridae/Dengue-3/isolate_6.fasta,,6,1
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3349480134,10461,"OZ484515.1 dengue virus type 3 isolate IEDCR-ARBV2501071 genome assembly, complete genome: monopartite",data/refs/Flaviviridae/Dengue-3/isolate_7.fasta,,7,2
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3349480132,10461,"OZ484513.1 dengue virus type 3 isolate IEDCR-ARBV2501003 genome assembly, complete genome: monopartite",data/refs/Flaviviridae/Dengue-3/isolate_8.fasta,,8,3
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,3349480119,10461,"OZ484500.1 dengue virus type 3 isolate IEDCR-ARBV2501038 genome assembly, complete genome: monopartite",data/refs/Flaviviridae/Dengue-3/isolate_9.fasta,,9,4
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,12084822,10649,"NC_002640.1 Dengue virus 4, complete genome",data/refs/Flaviviridae/Dengue-4/isolate_0.fasta,,0,0
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,3349480123,10511,"OZ484504.1 dengue virus type 4 isolate IEDCR-ARBV2501018 genome assembly, complete genome: monopartite",data/refs/Flaviviridae/Dengue-4/isolate_1.fasta,,1,1
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,3349480122,10511,"OZ484503.1 dengue virus type 4 isolate IEDCR-ARBV2500972 genome assembly, complete genome: monopartite",data/refs/Flaviviridae/Dengue-4/isolate_2.fasta,,2,2
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,3199409383,10648,"PZ049732.1 Dengue virus type 4 isolate KMSLABD4, complete genome",data/refs/Flaviviridae/Dengue-4/isolate_3.fasta,,3,3
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,3101597498,10649,"PX480447.1 Dengue virus type 4 isolate D20-0259, complete genome",data/refs/Flaviviridae/Dengue-4/isolate_4.fasta,,4,4
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,3101597496,10649,"PX480446.1 Dengue virus type 4 isolate D20-0040, complete genome",data/refs/Flaviviridae/Dengue-4/isolate_5.fasta,,5,0
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,3101597494,10649,"PX480445.1 Dengue virus type 4 isolate D19-2229, complete genome",data/refs/Flaviviridae/Dengue-4/isolate_6.fasta,,6,1
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,3101597492,10649,"PX480444.1 Dengue virus type 4 isolate D19-1649, complete genome",data/refs/Flaviviridae/Dengue-4/isolate_7.fasta,,7,2
