family,family_idx,variant,variant_idx,organism,title_keyword,accession,length,defline,fasta_path,note
Filoviridae,2,Lloviu,7,Lloviu cuevavirus,,355469071,18927,"NC_016144.1 Lloviu cuevavirus isolate Lloviu virus/M.schreibersii-wt/ESP/2003/Asturias-Bat86, complete genome",data/refs/Filoviridae/Lloviu.fasta,
Hepadnaviridae,3,HBV-genotype-A,0,Hepatitis B virus,genotype A,2719244372,3221,"LC784044.1 Hepatitis B virus genotype A HB-DB66 DNA, complete genome",data/refs/Hepadnaviridae/HBV-genotype-A.fasta,
Hepadnaviridae,3,HBV-genotype-B,1,Hepatitis B virus,genotype B,2719244442,3215,"LC784057.1 Hepatitis B virus genotype B HB-DB7 DNA, complete genome",data/refs/Hepadnaviridae/HBV-genotype-B.fasta,
Hepadnaviridae,3,HBV-genotype-C,2,Hepatitis B virus,genotype C,3356338149,3185,"LC886239.1 Hepatitis B virus genotype C Case161-0b DNA, complete genome",data/refs/Hepadnaviridae/HBV-genotype-C.fasta,
Hepadnaviridae,3,HBV-genotype-D,3,Hepatitis B virus genotype D,complete genome,3054451095,3182,"LC852229.1 HBV genotype D2 HB-DBT29 DNA, complete genome",data/refs/Hepadnaviridae/HBV-genotype-D.fasta,
Hepadnaviridae,3,HBV-genotype-E,4,Hepatitis B virus,genotype E,2710649641,3197,"PP445059.1 MAG: Hepatitis B virus isolate Senegal/TV012/2021 genotype E, partial genome",data/refs/Hepadnaviridae/HBV-genotype-E.fasta,
Hepadnaviridae,3,HBV-genotype-F,5,Hepatitis B virus genotype F,complete genome,399923454,3182,"HE974369.1 HBV genotype F2 complete genome, isolate Mart-B26",data/refs/Hepadnaviridae/HBV-genotype-F.fasta,
Hepadnaviridae,3,HBV-genotype-G,6,Hepatitis B virus,genotype G,383082105,3179,"AB625343.1 Hepatitis B virus genotype G DNA, complete genome, isolate: MEX921M",data/refs/Hepadnaviridae/HBV-genotype-G.fasta,
Hepadnaviridae,3,HBV-genotype-H,7,Hepatitis B virus,genotype H,1707759566,3215,"LC491577.1 Hepatitis B virus genotype H Itabashi DNA, complete genome",data/refs/Hepadnaviridae/HBV-genotype-H.fasta,
Retroviridae,4,HIV-1-subtype-A,0,Human immunodeficiency virus 1,92UG037,2570232,8999,"U51190.1 HIV-1 clone 92ug037 from Uganda, complete genome",data/refs/Retroviridae/HIV-1-subtype-A.fasta,
Retroviridae,4,HIV-1-subtype-B,1,Human immunodeficiency virus 1,HXB2,1906382,9719,"K03455.1 Human immunodeficiency virus type 1 (HXB2), complete genome; HIV1/HTLV-III/LAV reference genome",data/refs/Retroviridae/HIV-1-subtype-B.fasta,
Retroviridae,4,HIV-1-subtype-C,2,Human immunodeficiency virus 1,subtype C,6016887,9680,"AB023804.1 Human immunodeficiency virus 1 subtype C genomic RNA, complete genome",data/refs/Retroviridae/HIV-1-subtype-C.fasta,
Retroviridae,4,HIV-1-subtype-D,3,Human immunodeficiency virus 1,94UG114,2570307,8952,U88824.1 HIV-1 isolate 94UG114 from Uganda complete genome,data/refs/Retroviridae/HIV-1-subtype-D.fasta,
Retroviridae,4,HIV-1-subtype-F,4,Human immunodeficiency virus 1,93BR020,3114544,8968,AF005494.1 HIV-1 isolate 93br020 from Brazil complete genome,data/refs/Retroviridae/HIV-1-subtype-F.fasta,
Retroviridae,4,HIV-1-subtype-G,5,Human immunodeficiency virus 1,92NG083,2570325,8987,U88826.1 HIV-1 isolate 92NG083 from Nigeria complete genome,data/refs/Retroviridae/HIV-1-subtype-G.fasta,
Retroviridae,4,HIV-1-subtype-H,6,Human immunodeficiency virus 1,VI991,6580983,9056,"AF190127.1 HIV-1 isolate VI991 from Belgium Gag polyprotein (gag), Pol polyprotein (pol), Vif (vif), Vpr (vpr), truncated Tat (tat), Rev (rev), truncated Vpu (vpu), envelope glycoprotein precursor (env), and Nef (nef) genes, complete cds",data/refs/Retroviridae/HIV-1-subtype-H.fasta,
Retroviridae,4,HIV-2,7,Human immunodeficiency virus 2,,9628880,10359,"NC_001722.1 Human immunodeficiency virus 2, complete genome",data/refs/Retroviridae/HIV-2.fasta,
Herpesviridae,5,HSV-1,0,Human herpesvirus 1,,820945227,152222,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",data/refs/Herpesviridae/HSV-1.fasta,
Herpesviridae,5,HSV-2,1,Human herpesvirus 2,,820945149,154675,"NC_001798.2 Human herpesvirus 2 strain HG52, complete genome",data/refs/Herpesviridae/HSV-2.fasta,
Herpesviridae,5,VZV,2,Human herpesvirus 3,,9625875,124884,"NC_001348.1 Human herpesvirus 3, complete genome",data/refs/Herpesviridae/VZV.fasta,
Herpesviridae,5,EBV,3,Human herpesvirus 4,,139424470,172764,"NC_009334.1 Human herpesvirus 4, complete genome",data/refs/Herpesviridae/EBV.fasta,
Herpesviridae,5,HCMV,4,Human herpesvirus 5,,155573622,235646,"NC_006273.2 Human herpesvirus 5 strain Merlin, complete genome",data/refs/Herpesviridae/HCMV.fasta,
Herpesviridae,5,HHV-6A,5,Human betaherpesvirus 6A,,1344462938,159378,"NC_001664.4 Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102",data/refs/Herpesviridae/HHV-6A.fasta,
Herpesviridae,5,HHV-6B,6,Human herpesvirus 6B,,9633069,162114,"NC_000898.1 Human herpesvirus 6B, complete genome",data/refs/Herpesviridae/HHV-6B.fasta,
Herpesviridae,5,HHV-7,7,Human herpesvirus 7,,51874225,153080,"NC_001716.2 Human herpesvirus 7, complete genome",data/refs/Herpesviridae/HHV-7.fasta,
Picornaviridae,6,Poliovirus-1,0,Poliovirus 1,complete genome,2809804521,7441,"PP506141.1 Poliovirus 1 isolate S46/10, complete genome",data/refs/Picornaviridae/Poliovirus-1.fasta,
Picornaviridae,6,Poliovirus-2,1,Poliovirus 2,complete genome,3134038678,7439,"PX725683.1 Poliovirus 2 isolate BOT/2023-23652, complete genome",data/refs/Picornaviridae/Poliovirus-2.fasta,
Picornaviridae,6,Poliovirus-3,2,Poliovirus 3,,3247991406,7432,"PZ134350.1 Poliovirus 3 isolate ZJ-23-8-1, complete genome",data/refs/Picornaviridae/Poliovirus-3.fasta,
Picornaviridae,6,Coxsackievirus-A16,3,Coxsackievirus A16,,3324899149,7286,"PZ117058.1 Coxsackievirus A16 isolate SPb_12354/25EVI/Kostroma/2025/RU, partial genome",data/refs/Picornaviridae/Coxsackievirus-A16.fasta,
Picornaviridae,6,Coxsackievirus-B3,4,Coxsackievirus B3,,1464306883,7399,"NC_038307.1 Coxsackievirus B3 mRNA, complete genome",data/refs/Picornaviridae/Coxsackievirus-B3.fasta,
Picornaviridae,6,Rhinovirus-A,5,Rhinovirus A,,1464306962,7137,"NC_038311.1 Human rhinovirus 1 strain ATCC VR-1559, complete genome",data/refs/Picornaviridae/Rhinovirus-A.fasta,
Picornaviridae,6,Rhinovirus-B,6,Rhinovirus B,,9626735,7212,"NC_001490.1 Rhinovirus B14, complete sequence",data/refs/Picornaviridae/Rhinovirus-B.fasta,
Picornaviridae,6,Rhinovirus-C,7,Rhinovirus C,,1464310212,6944,"NC_038878.1 Human rhinovirus NAT001 polyprotein gene, complete cds",data/refs/Picornaviridae/Rhinovirus-C.fasta,
Paramyxoviridae,7,Measles,0,Measles virus,,9626945,15894,"NC_001498.1 Measles virus, complete genome",data/refs/Paramyxoviridae/Measles.fasta,
Paramyxoviridae,7,Mumps,1,Mumps orthorubulavirus,,9695415,15384,"NC_002200.1 Mumps orthorubulavirus genomic RNA, complete genome",data/refs/Paramyxoviridae/Mumps.fasta,
Paramyxoviridae,7,RSV-A,2,Human respiratory syncytial virus A,,9629367,15191,"NC_001803.1 Human respiratory syncytial virus A isolate HRSV/A/UK/S2.ts1C/1995, complete genome",data/refs/Paramyxoviridae/RSV-A.fasta,
Paramyxoviridae,7,RSV-B,3,Human respiratory syncytial virus B,,3351212240,15143,"PZ575938.1 Human respiratory syncytial virus B isolate MN-MDH-RSVB-04823, partial genome",data/refs/Paramyxoviridae/RSV-B.fasta,
Paramyxoviridae,7,Human-Parainfluenza-1,4,Human parainfluenza virus 1,,19718363,15600,"NC_003461.1 Human parainfluenza virus 1, complete genome",data/refs/Paramyxoviridae/Human-Parainfluenza-1.fasta,
Paramyxoviridae,7,Human-Parainfluenza-3,5,Human parainfluenza virus 3,,2500367884,15462,"NC_075446.1 Human parainfluenza virus 3 strain ZHYMgz01, complete genome",data/refs/Paramyxoviridae/Human-Parainfluenza-3.fasta,
Paramyxoviridae,7,Nipah,6,Nipah virus,,13559808,18246,"NC_002728.1 Nipah virus, complete genome",data/refs/Paramyxoviridae/Nipah.fasta,
Paramyxoviridae,7,Human-Metapneumovirus,7,Human metapneumovirus,,1464315997,13350,"NC_039199.1 Human metapneumovirus isolate 00-1, complete genome",data/refs/Paramyxoviridae/Human-Metapneumovirus.fasta,
