sample_id,family,family_idx,variant,variant_idx,replicate,r1_path,r2_path,split
Coronaviridae__SARS-CoV-1__rep5,Coronaviridae,0,SARS-CoV-1,1,5,data/reads/Coronaviridae/SARS-CoV-1/rep5_1.fq,data/reads/Coronaviridae/SARS-CoV-1/rep5_2.fq,test
Coronaviridae__MERS-CoV__rep0,Coronaviridae,0,MERS-CoV,2,0,data/reads/Coronaviridae/MERS-CoV/rep0_1.fq,data/reads/Coronaviridae/MERS-CoV/rep0_2.fq,train
Coronaviridae__MERS-CoV__rep1,Coronaviridae,0,MERS-CoV,2,1,data/reads/Coronaviridae/MERS-CoV/rep1_1.fq,data/reads/Coronaviridae/MERS-CoV/rep1_2.fq,train
Coronaviridae__MERS-CoV__rep2,Coronaviridae,0,MERS-CoV,2,2,data/reads/Coronaviridae/MERS-CoV/rep2_1.fq,data/reads/Coronaviridae/MERS-CoV/rep2_2.fq,train
Coronaviridae__MERS-CoV__rep3,Coronaviridae,0,MERS-CoV,2,3,data/reads/Coronaviridae/MERS-CoV/rep3_1.fq,data/reads/Coronaviridae/MERS-CoV/rep3_2.fq,train
Coronaviridae__MERS-CoV__rep4,Coronaviridae,0,MERS-CoV,2,4,data/reads/Coronaviridae/MERS-CoV/rep4_1.fq,data/reads/Coronaviridae/MERS-CoV/rep4_2.fq,val
Coronaviridae__MERS-CoV__rep5,Coronaviridae,0,MERS-CoV,2,5,data/reads/Coronaviridae/MERS-CoV/rep5_1.fq,data/reads/Coronaviridae/MERS-CoV/rep5_2.fq,test
Coronaviridae__HCoV-229E__rep0,Coronaviridae,0,HCoV-229E,3,0,data/reads/Coronaviridae/HCoV-229E/rep0_1.fq,data/reads/Coronaviridae/HCoV-229E/rep0_2.fq,train
Coronaviridae__HCoV-229E__rep1,Coronaviridae,0,HCoV-229E,3,1,data/reads/Coronaviridae/HCoV-229E/rep1_1.fq,data/reads/Coronaviridae/HCoV-229E/rep1_2.fq,train
Coronaviridae__HCoV-229E__rep2,Coronaviridae,0,HCoV-229E,3,2,data/reads/Coronaviridae/HCoV-229E/rep2_1.fq,data/reads/Coronaviridae/HCoV-229E/rep2_2.fq,train
Coronaviridae__HCoV-229E__rep3,Coronaviridae,0,HCoV-229E,3,3,data/reads/Coronaviridae/HCoV-229E/rep3_1.fq,data/reads/Coronaviridae/HCoV-229E/rep3_2.fq,train
Coronaviridae__HCoV-229E__rep4,Coronaviridae,0,HCoV-229E,3,4,data/reads/Coronaviridae/HCoV-229E/rep4_1.fq,data/reads/Coronaviridae/HCoV-229E/rep4_2.fq,val
Coronaviridae__HCoV-229E__rep5,Coronaviridae,0,HCoV-229E,3,5,data/reads/Coronaviridae/HCoV-229E/rep5_1.fq,data/reads/Coronaviridae/HCoV-229E/rep5_2.fq,test
Coronaviridae__HCoV-NL63__rep0,Coronaviridae,0,HCoV-NL63,4,0,data/reads/Coronaviridae/HCoV-NL63/rep0_1.fq,data/reads/Coronaviridae/HCoV-NL63/rep0_2.fq,train
Coronaviridae__HCoV-NL63__rep1,Coronaviridae,0,HCoV-NL63,4,1,data/reads/Coronaviridae/HCoV-NL63/rep1_1.fq,data/reads/Coronaviridae/HCoV-NL63/rep1_2.fq,train
Coronaviridae__HCoV-NL63__rep2,Coronaviridae,0,HCoV-NL63,4,2,data/reads/Coronaviridae/HCoV-NL63/rep2_1.fq,data/reads/Coronaviridae/HCoV-NL63/rep2_2.fq,train
Coronaviridae__HCoV-NL63__rep3,Coronaviridae,0,HCoV-NL63,4,3,data/reads/Coronaviridae/HCoV-NL63/rep3_1.fq,data/reads/Coronaviridae/HCoV-NL63/rep3_2.fq,train
Coronaviridae__HCoV-NL63__rep4,Coronaviridae,0,HCoV-NL63,4,4,data/reads/Coronaviridae/HCoV-NL63/rep4_1.fq,data/reads/Coronaviridae/HCoV-NL63/rep4_2.fq,val
Coronaviridae__HCoV-NL63__rep5,Coronaviridae,0,HCoV-NL63,4,5,data/reads/Coronaviridae/HCoV-NL63/rep5_1.fq,data/reads/Coronaviridae/HCoV-NL63/rep5_2.fq,test
Coronaviridae__HCoV-OC43__rep0,Coronaviridae,0,HCoV-OC43,5,0,data/reads/Coronaviridae/HCoV-OC43/rep0_1.fq,data/reads/Coronaviridae/HCoV-OC43/rep0_2.fq,train
Coronaviridae__HCoV-OC43__rep1,Coronaviridae,0,HCoV-OC43,5,1,data/reads/Coronaviridae/HCoV-OC43/rep1_1.fq,data/reads/Coronaviridae/HCoV-OC43/rep1_2.fq,train
Coronaviridae__HCoV-OC43__rep2,Coronaviridae,0,HCoV-OC43,5,2,data/reads/Coronaviridae/HCoV-OC43/rep2_1.fq,data/reads/Coronaviridae/HCoV-OC43/rep2_2.fq,train
Coronaviridae__HCoV-OC43__rep3,Coronaviridae,0,HCoV-OC43,5,3,data/reads/Coronaviridae/HCoV-OC43/rep3_1.fq,data/reads/Coronaviridae/HCoV-OC43/rep3_2.fq,train
Coronaviridae__HCoV-OC43__rep4,Coronaviridae,0,HCoV-OC43,5,4,data/reads/Coronaviridae/HCoV-OC43/rep4_1.fq,data/reads/Coronaviridae/HCoV-OC43/rep4_2.fq,val
Coronaviridae__HCoV-OC43__rep5,Coronaviridae,0,HCoV-OC43,5,5,data/reads/Coronaviridae/HCoV-OC43/rep5_1.fq,data/reads/Coronaviridae/HCoV-OC43/rep5_2.fq,test
Coronaviridae__HCoV-HKU1__rep0,Coronaviridae,0,HCoV-HKU1,6,0,data/reads/Coronaviridae/HCoV-HKU1/rep0_1.fq,data/reads/Coronaviridae/HCoV-HKU1/rep0_2.fq,train
Coronaviridae__HCoV-HKU1__rep1,Coronaviridae,0,HCoV-HKU1,6,1,data/reads/Coronaviridae/HCoV-HKU1/rep1_1.fq,data/reads/Coronaviridae/HCoV-HKU1/rep1_2.fq,train
Coronaviridae__HCoV-HKU1__rep2,Coronaviridae,0,HCoV-HKU1,6,2,data/reads/Coronaviridae/HCoV-HKU1/rep2_1.fq,data/reads/Coronaviridae/HCoV-HKU1/rep2_2.fq,train
Coronaviridae__HCoV-HKU1__rep3,Coronaviridae,0,HCoV-HKU1,6,3,data/reads/Coronaviridae/HCoV-HKU1/rep3_1.fq,data/reads/Coronaviridae/HCoV-HKU1/rep3_2.fq,train
Coronaviridae__HCoV-HKU1__rep4,Coronaviridae,0,HCoV-HKU1,6,4,data/reads/Coronaviridae/HCoV-HKU1/rep4_1.fq,data/reads/Coronaviridae/HCoV-HKU1/rep4_2.fq,val
Coronaviridae__HCoV-HKU1__rep5,Coronaviridae,0,HCoV-HKU1,6,5,data/reads/Coronaviridae/HCoV-HKU1/rep5_1.fq,data/reads/Coronaviridae/HCoV-HKU1/rep5_2.fq,test
Coronaviridae__Bat-CoV-RaTG13__rep0,Coronaviridae,0,Bat-CoV-RaTG13,7,0,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep0_1.fq,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep0_2.fq,train
Coronaviridae__Bat-CoV-RaTG13__rep1,Coronaviridae,0,Bat-CoV-RaTG13,7,1,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep1_1.fq,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep1_2.fq,train
Coronaviridae__Bat-CoV-RaTG13__rep2,Coronaviridae,0,Bat-CoV-RaTG13,7,2,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep2_1.fq,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep2_2.fq,train
Coronaviridae__Bat-CoV-RaTG13__rep3,Coronaviridae,0,Bat-CoV-RaTG13,7,3,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep3_1.fq,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep3_2.fq,train
Coronaviridae__Bat-CoV-RaTG13__rep4,Coronaviridae,0,Bat-CoV-RaTG13,7,4,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep4_1.fq,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep4_2.fq,val
Coronaviridae__Bat-CoV-RaTG13__rep5,Coronaviridae,0,Bat-CoV-RaTG13,7,5,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep5_1.fq,data/reads/Coronaviridae/Bat-CoV-RaTG13/rep5_2.fq,test
Flaviviridae__Dengue-1__rep0,Flaviviridae,1,Dengue-1,0,0,data/reads/Flaviviridae/Dengue-1/rep0_1.fq,data/reads/Flaviviridae/Dengue-1/rep0_2.fq,train
Flaviviridae__Dengue-1__rep1,Flaviviridae,1,Dengue-1,0,1,data/reads/Flaviviridae/Dengue-1/rep1_1.fq,data/reads/Flaviviridae/Dengue-1/rep1_2.fq,train
Flaviviridae__Dengue-1__rep2,Flaviviridae,1,Dengue-1,0,2,data/reads/Flaviviridae/Dengue-1/rep2_1.fq,data/reads/Flaviviridae/Dengue-1/rep2_2.fq,train
Flaviviridae__Dengue-1__rep3,Flaviviridae,1,Dengue-1,0,3,data/reads/Flaviviridae/Dengue-1/rep3_1.fq,data/reads/Flaviviridae/Dengue-1/rep3_2.fq,train
Flaviviridae__Dengue-1__rep4,Flaviviridae,1,Dengue-1,0,4,data/reads/Flaviviridae/Dengue-1/rep4_1.fq,data/reads/Flaviviridae/Dengue-1/rep4_2.fq,val
Flaviviridae__Dengue-1__rep5,Flaviviridae,1,Dengue-1,0,5,data/reads/Flaviviridae/Dengue-1/rep5_1.fq,data/reads/Flaviviridae/Dengue-1/rep5_2.fq,test
Flaviviridae__Dengue-2__rep0,Flaviviridae,1,Dengue-2,1,0,data/reads/Flaviviridae/Dengue-2/rep0_1.fq,data/reads/Flaviviridae/Dengue-2/rep0_2.fq,train
Flaviviridae__Dengue-2__rep1,Flaviviridae,1,Dengue-2,1,1,data/reads/Flaviviridae/Dengue-2/rep1_1.fq,data/reads/Flaviviridae/Dengue-2/rep1_2.fq,train
Flaviviridae__Dengue-2__rep2,Flaviviridae,1,Dengue-2,1,2,data/reads/Flaviviridae/Dengue-2/rep2_1.fq,data/reads/Flaviviridae/Dengue-2/rep2_2.fq,train
Flaviviridae__Dengue-2__rep3,Flaviviridae,1,Dengue-2,1,3,data/reads/Flaviviridae/Dengue-2/rep3_1.fq,data/reads/Flaviviridae/Dengue-2/rep3_2.fq,train
Flaviviridae__Dengue-2__rep4,Flaviviridae,1,Dengue-2,1,4,data/reads/Flaviviridae/Dengue-2/rep4_1.fq,data/reads/Flaviviridae/Dengue-2/rep4_2.fq,val
Flaviviridae__Dengue-2__rep5,Flaviviridae,1,Dengue-2,1,5,data/reads/Flaviviridae/Dengue-2/rep5_1.fq,data/reads/Flaviviridae/Dengue-2/rep5_2.fq,test
Flaviviridae__Dengue-3__rep0,Flaviviridae,1,Dengue-3,2,0,data/reads/Flaviviridae/Dengue-3/rep0_1.fq,data/reads/Flaviviridae/Dengue-3/rep0_2.fq,train
Flaviviridae__Dengue-3__rep1,Flaviviridae,1,Dengue-3,2,1,data/reads/Flaviviridae/Dengue-3/rep1_1.fq,data/reads/Flaviviridae/Dengue-3/rep1_2.fq,train
Flaviviridae__Dengue-3__rep2,Flaviviridae,1,Dengue-3,2,2,data/reads/Flaviviridae/Dengue-3/rep2_1.fq,data/reads/Flaviviridae/Dengue-3/rep2_2.fq,train
Flaviviridae__Dengue-3__rep3,Flaviviridae,1,Dengue-3,2,3,data/reads/Flaviviridae/Dengue-3/rep3_1.fq,data/reads/Flaviviridae/Dengue-3/rep3_2.fq,train
Flaviviridae__Dengue-3__rep4,Flaviviridae,1,Dengue-3,2,4,data/reads/Flaviviridae/Dengue-3/rep4_1.fq,data/reads/Flaviviridae/Dengue-3/rep4_2.fq,val
Flaviviridae__Dengue-3__rep5,Flaviviridae,1,Dengue-3,2,5,data/reads/Flaviviridae/Dengue-3/rep5_1.fq,data/reads/Flaviviridae/Dengue-3/rep5_2.fq,test
Flaviviridae__Dengue-4__rep0,Flaviviridae,1,Dengue-4,3,0,data/reads/Flaviviridae/Dengue-4/rep0_1.fq,data/reads/Flaviviridae/Dengue-4/rep0_2.fq,train
Flaviviridae__Dengue-4__rep1,Flaviviridae,1,Dengue-4,3,1,data/reads/Flaviviridae/Dengue-4/rep1_1.fq,data/reads/Flaviviridae/Dengue-4/rep1_2.fq,train
Flaviviridae__Dengue-4__rep2,Flaviviridae,1,Dengue-4,3,2,data/reads/Flaviviridae/Dengue-4/rep2_1.fq,data/reads/Flaviviridae/Dengue-4/rep2_2.fq,train
Flaviviridae__Dengue-4__rep3,Flaviviridae,1,Dengue-4,3,3,data/reads/Flaviviridae/Dengue-4/rep3_1.fq,data/reads/Flaviviridae/Dengue-4/rep3_2.fq,train
Flaviviridae__Dengue-4__rep4,Flaviviridae,1,Dengue-4,3,4,data/reads/Flaviviridae/Dengue-4/rep4_1.fq,data/reads/Flaviviridae/Dengue-4/rep4_2.fq,val
Flaviviridae__Dengue-4__rep5,Flaviviridae,1,Dengue-4,3,5,data/reads/Flaviviridae/Dengue-4/rep5_1.fq,data/reads/Flaviviridae/Dengue-4/rep5_2.fq,test
Flaviviridae__Zika__rep0,Flaviviridae,1,Zika,4,0,data/reads/Flaviviridae/Zika/rep0_1.fq,data/reads/Flaviviridae/Zika/rep0_2.fq,train
Flaviviridae__Zika__rep1,Flaviviridae,1,Zika,4,1,data/reads/Flaviviridae/Zika/rep1_1.fq,data/reads/Flaviviridae/Zika/rep1_2.fq,train
Flaviviridae__Zika__rep2,Flaviviridae,1,Zika,4,2,data/reads/Flaviviridae/Zika/rep2_1.fq,data/reads/Flaviviridae/Zika/rep2_2.fq,train
Flaviviridae__Zika__rep3,Flaviviridae,1,Zika,4,3,data/reads/Flaviviridae/Zika/rep3_1.fq,data/reads/Flaviviridae/Zika/rep3_2.fq,train
Flaviviridae__Zika__rep4,Flaviviridae,1,Zika,4,4,data/reads/Flaviviridae/Zika/rep4_1.fq,data/reads/Flaviviridae/Zika/rep4_2.fq,val
Flaviviridae__Zika__rep5,Flaviviridae,1,Zika,4,5,data/reads/Flaviviridae/Zika/rep5_1.fq,data/reads/Flaviviridae/Zika/rep5_2.fq,test
Flaviviridae__West-Nile__rep0,Flaviviridae,1,West-Nile,5,0,data/reads/Flaviviridae/West-Nile/rep0_1.fq,data/reads/Flaviviridae/West-Nile/rep0_2.fq,train
Flaviviridae__West-Nile__rep1,Flaviviridae,1,West-Nile,5,1,data/reads/Flaviviridae/West-Nile/rep1_1.fq,data/reads/Flaviviridae/West-Nile/rep1_2.fq,train
Flaviviridae__West-Nile__rep2,Flaviviridae,1,West-Nile,5,2,data/reads/Flaviviridae/West-Nile/rep2_1.fq,data/reads/Flaviviridae/West-Nile/rep2_2.fq,train
Flaviviridae__West-Nile__rep3,Flaviviridae,1,West-Nile,5,3,data/reads/Flaviviridae/West-Nile/rep3_1.fq,data/reads/Flaviviridae/West-Nile/rep3_2.fq,train
Flaviviridae__West-Nile__rep4,Flaviviridae,1,West-Nile,5,4,data/reads/Flaviviridae/West-Nile/rep4_1.fq,data/reads/Flaviviridae/West-Nile/rep4_2.fq,val
Flaviviridae__West-Nile__rep5,Flaviviridae,1,West-Nile,5,5,data/reads/Flaviviridae/West-Nile/rep5_1.fq,data/reads/Flaviviridae/West-Nile/rep5_2.fq,test
Flaviviridae__Yellow-Fever__rep0,Flaviviridae,1,Yellow-Fever,6,0,data/reads/Flaviviridae/Yellow-Fever/rep0_1.fq,data/reads/Flaviviridae/Yellow-Fever/rep0_2.fq,train
Flaviviridae__Yellow-Fever__rep1,Flaviviridae,1,Yellow-Fever,6,1,data/reads/Flaviviridae/Yellow-Fever/rep1_1.fq,data/reads/Flaviviridae/Yellow-Fever/rep1_2.fq,train
Flaviviridae__Yellow-Fever__rep2,Flaviviridae,1,Yellow-Fever,6,2,data/reads/Flaviviridae/Yellow-Fever/rep2_1.fq,data/reads/Flaviviridae/Yellow-Fever/rep2_2.fq,train
Flaviviridae__Yellow-Fever__rep3,Flaviviridae,1,Yellow-Fever,6,3,data/reads/Flaviviridae/Yellow-Fever/rep3_1.fq,data/reads/Flaviviridae/Yellow-Fever/rep3_2.fq,train
Flaviviridae__Yellow-Fever__rep4,Flaviviridae,1,Yellow-Fever,6,4,data/reads/Flaviviridae/Yellow-Fever/rep4_1.fq,data/reads/Flaviviridae/Yellow-Fever/rep4_2.fq,val
Flaviviridae__Yellow-Fever__rep5,Flaviviridae,1,Yellow-Fever,6,5,data/reads/Flaviviridae/Yellow-Fever/rep5_1.fq,data/reads/Flaviviridae/Yellow-Fever/rep5_2.fq,test
Flaviviridae__Japanese-Encephalitis__rep0,Flaviviridae,1,Japanese-Encephalitis,7,0,data/reads/Flaviviridae/Japanese-Encephalitis/rep0_1.fq,data/reads/Flaviviridae/Japanese-Encephalitis/rep0_2.fq,train
Flaviviridae__Japanese-Encephalitis__rep1,Flaviviridae,1,Japanese-Encephalitis,7,1,data/reads/Flaviviridae/Japanese-Encephalitis/rep1_1.fq,data/reads/Flaviviridae/Japanese-Encephalitis/rep1_2.fq,train
Flaviviridae__Japanese-Encephalitis__rep2,Flaviviridae,1,Japanese-Encephalitis,7,2,data/reads/Flaviviridae/Japanese-Encephalitis/rep2_1.fq,data/reads/Flaviviridae/Japanese-Encephalitis/rep2_2.fq,train
Flaviviridae__Japanese-Encephalitis__rep3,Flaviviridae,1,Japanese-Encephalitis,7,3,data/reads/Flaviviridae/Japanese-Encephalitis/rep3_1.fq,data/reads/Flaviviridae/Japanese-Encephalitis/rep3_2.fq,train
Flaviviridae__Japanese-Encephalitis__rep4,Flaviviridae,1,Japanese-Encephalitis,7,4,data/reads/Flaviviridae/Japanese-Encephalitis/rep4_1.fq,data/reads/Flaviviridae/Japanese-Encephalitis/rep4_2.fq,val
Flaviviridae__Japanese-Encephalitis__rep5,Flaviviridae,1,Japanese-Encephalitis,7,5,data/reads/Flaviviridae/Japanese-Encephalitis/rep5_1.fq,data/reads/Flaviviridae/Japanese-Encephalitis/rep5_2.fq,test
Filoviridae__Ebola-Zaire__rep0,Filoviridae,2,Ebola-Zaire,0,0,data/reads/Filoviridae/Ebola-Zaire/rep0_1.fq,data/reads/Filoviridae/Ebola-Zaire/rep0_2.fq,train
Filoviridae__Ebola-Zaire__rep1,Filoviridae,2,Ebola-Zaire,0,1,data/reads/Filoviridae/Ebola-Zaire/rep1_1.fq,data/reads/Filoviridae/Ebola-Zaire/rep1_2.fq,train
Filoviridae__Ebola-Zaire__rep2,Filoviridae,2,Ebola-Zaire,0,2,data/reads/Filoviridae/Ebola-Zaire/rep2_1.fq,data/reads/Filoviridae/Ebola-Zaire/rep2_2.fq,train
Filoviridae__Ebola-Zaire__rep3,Filoviridae,2,Ebola-Zaire,0,3,data/reads/Filoviridae/Ebola-Zaire/rep3_1.fq,data/reads/Filoviridae/Ebola-Zaire/rep3_2.fq,train
Filoviridae__Ebola-Zaire__rep4,Filoviridae,2,Ebola-Zaire,0,4,data/reads/Filoviridae/Ebola-Zaire/rep4_1.fq,data/reads/Filoviridae/Ebola-Zaire/rep4_2.fq,val
Filoviridae__Ebola-Zaire__rep5,Filoviridae,2,Ebola-Zaire,0,5,data/reads/Filoviridae/Ebola-Zaire/rep5_1.fq,data/reads/Filoviridae/Ebola-Zaire/rep5_2.fq,test
Filoviridae__Ebola-Sudan__rep0,Filoviridae,2,Ebola-Sudan,1,0,data/reads/Filoviridae/Ebola-Sudan/rep0_1.fq,data/reads/Filoviridae/Ebola-Sudan/rep0_2.fq,train
Filoviridae__Ebola-Sudan__rep1,Filoviridae,2,Ebola-Sudan,1,1,data/reads/Filoviridae/Ebola-Sudan/rep1_1.fq,data/reads/Filoviridae/Ebola-Sudan/rep1_2.fq,train
Filoviridae__Ebola-Sudan__rep2,Filoviridae,2,Ebola-Sudan,1,2,data/reads/Filoviridae/Ebola-Sudan/rep2_1.fq,data/reads/Filoviridae/Ebola-Sudan/rep2_2.fq,train
Filoviridae__Ebola-Sudan__rep3,Filoviridae,2,Ebola-Sudan,1,3,data/reads/Filoviridae/Ebola-Sudan/rep3_1.fq,data/reads/Filoviridae/Ebola-Sudan/rep3_2.fq,train
Filoviridae__Ebola-Sudan__rep4,Filoviridae,2,Ebola-Sudan,1,4,data/reads/Filoviridae/Ebola-Sudan/rep4_1.fq,data/reads/Filoviridae/Ebola-Sudan/rep4_2.fq,val
Filoviridae__Ebola-Sudan__rep5,Filoviridae,2,Ebola-Sudan,1,5,data/reads/Filoviridae/Ebola-Sudan/rep5_1.fq,data/reads/Filoviridae/Ebola-Sudan/rep5_2.fq,test
Filoviridae__Ebola-Bundibugyo__rep0,Filoviridae,2,Ebola-Bundibugyo,2,0,data/reads/Filoviridae/Ebola-Bundibugyo/rep0_1.fq,data/reads/Filoviridae/Ebola-Bundibugyo/rep0_2.fq,train
Filoviridae__Ebola-Bundibugyo__rep1,Filoviridae,2,Ebola-Bundibugyo,2,1,data/reads/Filoviridae/Ebola-Bundibugyo/rep1_1.fq,data/reads/Filoviridae/Ebola-Bundibugyo/rep1_2.fq,train
Filoviridae__Ebola-Bundibugyo__rep2,Filoviridae,2,Ebola-Bundibugyo,2,2,data/reads/Filoviridae/Ebola-Bundibugyo/rep2_1.fq,data/reads/Filoviridae/Ebola-Bundibugyo/rep2_2.fq,train
Filoviridae__Ebola-Bundibugyo__rep3,Filoviridae,2,Ebola-Bundibugyo,2,3,data/reads/Filoviridae/Ebola-Bundibugyo/rep3_1.fq,data/reads/Filoviridae/Ebola-Bundibugyo/rep3_2.fq,train
Filoviridae__Ebola-Bundibugyo__rep4,Filoviridae,2,Ebola-Bundibugyo,2,4,data/reads/Filoviridae/Ebola-Bundibugyo/rep4_1.fq,data/reads/Filoviridae/Ebola-Bundibugyo/rep4_2.fq,val
Filoviridae__Ebola-Bundibugyo__rep5,Filoviridae,2,Ebola-Bundibugyo,2,5,data/reads/Filoviridae/Ebola-Bundibugyo/rep5_1.fq,data/reads/Filoviridae/Ebola-Bundibugyo/rep5_2.fq,test
Filoviridae__Ebola-TaiForest__rep0,Filoviridae,2,Ebola-TaiForest,3,0,data/reads/Filoviridae/Ebola-TaiForest/rep0_1.fq,data/reads/Filoviridae/Ebola-TaiForest/rep0_2.fq,train
Filoviridae__Ebola-TaiForest__rep1,Filoviridae,2,Ebola-TaiForest,3,1,data/reads/Filoviridae/Ebola-TaiForest/rep1_1.fq,data/reads/Filoviridae/Ebola-TaiForest/rep1_2.fq,train
Filoviridae__Ebola-TaiForest__rep2,Filoviridae,2,Ebola-TaiForest,3,2,data/reads/Filoviridae/Ebola-TaiForest/rep2_1.fq,data/reads/Filoviridae/Ebola-TaiForest/rep2_2.fq,train
Filoviridae__Ebola-TaiForest__rep3,Filoviridae,2,Ebola-TaiForest,3,3,data/reads/Filoviridae/Ebola-TaiForest/rep3_1.fq,data/reads/Filoviridae/Ebola-TaiForest/rep3_2.fq,train
Filoviridae__Ebola-TaiForest__rep4,Filoviridae,2,Ebola-TaiForest,3,4,data/reads/Filoviridae/Ebola-TaiForest/rep4_1.fq,data/reads/Filoviridae/Ebola-TaiForest/rep4_2.fq,val
Filoviridae__Ebola-TaiForest__rep5,Filoviridae,2,Ebola-TaiForest,3,5,data/reads/Filoviridae/Ebola-TaiForest/rep5_1.fq,data/reads/Filoviridae/Ebola-TaiForest/rep5_2.fq,test
Filoviridae__Ebola-Reston__rep0,Filoviridae,2,Ebola-Reston,4,0,data/reads/Filoviridae/Ebola-Reston/rep0_1.fq,data/reads/Filoviridae/Ebola-Reston/rep0_2.fq,train
Filoviridae__Ebola-Reston__rep1,Filoviridae,2,Ebola-Reston,4,1,data/reads/Filoviridae/Ebola-Reston/rep1_1.fq,data/reads/Filoviridae/Ebola-Reston/rep1_2.fq,train
Filoviridae__Ebola-Reston__rep2,Filoviridae,2,Ebola-Reston,4,2,data/reads/Filoviridae/Ebola-Reston/rep2_1.fq,data/reads/Filoviridae/Ebola-Reston/rep2_2.fq,train
Filoviridae__Ebola-Reston__rep3,Filoviridae,2,Ebola-Reston,4,3,data/reads/Filoviridae/Ebola-Reston/rep3_1.fq,data/reads/Filoviridae/Ebola-Reston/rep3_2.fq,train
Filoviridae__Ebola-Reston__rep4,Filoviridae,2,Ebola-Reston,4,4,data/reads/Filoviridae/Ebola-Reston/rep4_1.fq,data/reads/Filoviridae/Ebola-Reston/rep4_2.fq,val
Filoviridae__Ebola-Reston__rep5,Filoviridae,2,Ebola-Reston,4,5,data/reads/Filoviridae/Ebola-Reston/rep5_1.fq,data/reads/Filoviridae/Ebola-Reston/rep5_2.fq,test
Filoviridae__Marburg__rep0,Filoviridae,2,Marburg,5,0,data/reads/Filoviridae/Marburg/rep0_1.fq,data/reads/Filoviridae/Marburg/rep0_2.fq,train
Filoviridae__Marburg__rep1,Filoviridae,2,Marburg,5,1,data/reads/Filoviridae/Marburg/rep1_1.fq,data/reads/Filoviridae/Marburg/rep1_2.fq,train
Filoviridae__Marburg__rep2,Filoviridae,2,Marburg,5,2,data/reads/Filoviridae/Marburg/rep2_1.fq,data/reads/Filoviridae/Marburg/rep2_2.fq,train
Filoviridae__Marburg__rep3,Filoviridae,2,Marburg,5,3,data/reads/Filoviridae/Marburg/rep3_1.fq,data/reads/Filoviridae/Marburg/rep3_2.fq,train
